type,s_frontend,s_backend,lf_react,lf_angular,lf_javascript,lf_kotlin,lb_node,lb_dotnet,lb_java,Complexity_value,t_design,t_frontend,t_backend,t_qa
1,2,3,0,1,0,0,0,0,1,6.6,0,12.0,12.0,1.0
1,2,3,0,1,0,0,0,0,1,8.6,0,16.0,16.0,1.0
1,2,3,0,1,0,0,0,0,1,6.6,0,12.0,12.0,1.0
1,2,3,0,1,0,0,0,0,1,4.7,0,8.0,8.0,2.0
1,2,2,0,0,1,0,0,1,0,2.7,0,4.0,4.0,3.0
1,2,2,0,0,1,0,0,1,0,3.7,0,6.0,6.0,3.0
1,2,2,0,0,1,0,0,1,0,3.7,0,6.0,6.0,3.0
1,2,2,0,0,1,0,0,1,0,2.7,0,4.0,4.0,3.0
1,2,2,0,0,1,0,0,1,0,1.4,0,2.0,2.0,0.0
1,2,2,0,0,1,0,0,1,0,1.0,0,0.0,2.0,1.0
1,2,2,0,0,1,0,0,1,0,1.25,0,0.0,3.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.5,0,0.0,4.0,1.0
1,2,2,0,0,1,0,0,1,0,1.0,0,0.0,2.0,1.0
1,2,2,0,0,1,0,0,1,0,1.15,0,0.0,3.0,0.0
1,2,2,0,0,1,0,0,1,0,1.4,0,0.0,4.0,0.0
1,2,2,0,0,1,0,0,1,0,1.4,0,0.0,4.0,0.0
1,2,2,0,0,1,0,0,1,0,1.15,0,0.0,3.0,0.0
1,2,2,0,0,1,0,0,1,0,1.15,0,0.0,3.0,0.0
1,2,2,0,0,1,0,0,1,0,0.9,0,0.0,2.0,0.0
